id,name,category_id
40120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1% but not exceeding 6% (by weight)",4
40130,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 6% (by weight)",4
40140,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%",4
40150,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%",4
40210,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",4
40221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",4
40229,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",4
40291,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",4
40299,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",4
40310,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa",4
40320,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",4
40390,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit, nuts or cocoa (excluding yoghurt)",4
40390,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",4
40410,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",4
40490,"Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.c. in chapter 04",4
40490,"Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04",4
40500,Dairy produce; butter and other fats and oils derived from milk,4
40510,"Dairy produce; derived from milk, butter",4
40520,Dairy produce; dairy spreads,4
40590,Dairy produce; fats and oils derived from milk (other than butter or dairy spreads),4
40610,"Dairy produce; fresh cheese (including whey cheese), not fermented, and curd",4
40620,"Dairy produce; cheese of all kinds, grated or powdered",4
40630,"Dairy produce; cheese, processed (not grated or powdered)",4
40640,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",4
40640,"Dairy produce; cheese, blue-veined (not grated, powdered or processed)",4
40690,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406",4
40690,"Dairy produce; cheese (not grated, powdered or processed), n.e.s. in heading no. 0406",4
40700,"Eggs; birds' eggs, in the shell, fresh, preserved or cooked",4
40711,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",4
40719,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, other than fowls of the species Gallus domesticus (domestic hens)",4
40721,"Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)",4
40729,"Birds' eggs, in shell; fresh, not for incubation, other than fowls of the species Gallus domesticus (domestic hens)",4
40790,"Birds' eggs, in shell; preserved or cooked",4
40811,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",4
40819,"Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",4
40891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",4
40899,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",4
40900,Honey; natural,4
41000,"Animal products; edible, n.e.c. in this or other chapters",4
41000,"Animal products; edible, n.e.s. in this or other chapters",4
41010,Animal products; insects,4
41090,"Animal products; edible products of animal origin, not elsewhere specified or included, other than insects",4
50100,"Animal products; hair, human, unworked, whether or not washed or scoured, and waste of human hair",4
50210,"Animal products; hair and bristles, of pigs, hogs or boars, and waste thereof",5
50290,"Animal products; badger hair and other brush making hair and waste of such bristles or hair, n.e.c. in heading no. 0502 (excluding horsehair)",5
50290,"Animal products; badger hair and other brush making hair and waste of such bristles or hair, n.e.s. in heading no. 0502 (excluding horsehair)",5
50300,"Animal products; horsehair and horsehair waste, whether or not put up as a layer with or without supporting material",5
50400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",5
50400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof",5
50510,"Animal products; feathers and down used for stuffing, not further worked than cleaned, disinfected or treated for preservation",5
50590,"Animal products; skins and other parts of birds, feathers and down (not for stuffing), powder and waste of such, not further worked than cleaned, disinfected or treated for preservation",5
50610,Animal products; ossein and bones treated with acid,5
50690,"Animal products; bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.c. in heading no. 0506",5
50690,"Animal products; bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.s. in heading no. 0506",5
50710,"Animal products; ivory, unworked or simply prepared but not cut to shape, ivory powder and waste",5
50790,"Animal products; tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",5
50800,"Animal products; coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof",5
50800,"Animal products; coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone etc., unworked or simply prepared (but not cut to shape), and powder and waste thereof",5
50900,Animal products; natural sponges of animal origin,5
51000,"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",5
51110,Animal products; bovine semen,5
51191,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption",5
51191,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",5
51199,Animal products; n.e.c. in chapter 5,5
51199,Animal products; n.e.s. in chapter 5,5
60110,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",5
60120,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",6
60210,"Plants, live; unrooted cuttings and slips",6
60220,"Plants, live; edible fruit or nut trees, shrubs and bushes, grafted or not",6
60230,"Plants, live; rhododendrons and azaleas, grafted or not",6
60240,"Plants, live; roses, grafted or not",6
60290,"Plants, live; n.e.c. in heading no. 0602",6
60290,"Plants, live; n.e.s. in heading no. 0602",6
60291,"Plants, live; mushroom spawn",6
60299,"Plants, live; n.e.s. in heading no. 0602",6
60310,"Flowers, cut; flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh",6
60311,"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",6
60312,"Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",6
60313,"Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",6
60314,"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",6
60315,"Flowers, cut; lilies (Lilium spp.), flowers and flower buds of a kind suitable for bouquets or ornamental purposes, fresh",6
60319,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies",6
60319,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, or chrysanthemums",6
60390,"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",6
60390,Flowers; n.e.c. in heading no. 0603,6
60390,Flowers; n.e.s. in heading no. 0603,6
60410,"Mosses and lichens; of a kind suitable for bouquets or ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",6
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh",6
60490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",6
60491,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses; being goods of a kind suitable for bouquets or for ornamental purposes, fresh",6
60499,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses; kind suitable for bouquets or for ornamental purposes dried, dyed, bleached, impregnated, otherwise prepared, excluding fresh",6
70110,"Vegetables; seed potatoes, fresh or chilled",6
70190,"Vegetables; potatoes (other than seed), fresh or chilled",7
70200,"Vegetables; tomatoes, fresh or chilled",7
70310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",7
70320,"Vegetables, alliaceous; garlic, fresh or chilled",7
70390,"Vegetables, alliaceous; leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled",7
70390,"Vegetables, alliaceous; leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled",7
70410,"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled",7
70410,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",7
70420,"Vegetables, brassica; brussel sprouts, fresh or chilled",7
70490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",7
70490,"Vegetables, brassica; edible, n.e.s. in heading no. 0704, fresh or chilled",7
70511,"Vegetables; cabbage (head) lettuce (lactuca sativa), fresh or chilled",7
70519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",7
70521,"Vegetables; witloff chicory (cichorium intybus var. foliosum), fresh or chilled",7
70529,"Vegetables; chicory (cichorium spp.), (other than witloof chicory), fresh or chilled",7
70610,"Vegetables, root; carrots and turnips, fresh or chilled",7
70690,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",7
70700,"Vegetables; cucumbers and gherkins, fresh or chilled",7
70810,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, fresh or chilled",7
70820,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",7
70890,"Vegetables, leguminous; (other than peas and beans), shelled or unshelled, fresh or chilled",7
70910,"Vegetables; globe artichokes, fresh or chilled",7
70920,"Vegetables; asparagus, fresh or chilled",7
70930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",7
70930,"Vegetables; aubergines, (egg plants), fresh or chilled",7
70940,"Vegetables; celery (other than celeriac), fresh or chilled",7
70951,"Vegetables; mushrooms of the genus Agaricus, fresh or chilled",7
70951,"Vegetables; mushrooms, fresh or chilled",7
70952,"Vegetables; mushrooms of the genus Boletus, fresh or chilled",7
70952,"Vegetables; truffles, fresh or chilled",7
70953,"Vegetables; mushrooms of the genus Cantharellus, fresh or chilled",7
70954,"Vegetables; shiitake mushrooms (Lentinus edodes), fresh or chilled",7
70955,"Vegetables; matsutake mushrooms (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum), fresh or chilled",7
70956,"Vegetables; truffles (Tuber spp.), fresh or chilled",7
70959,"Vegetables; truffles and mushrooms n.e.c. in heading 0709, fresh or chilled",7
70959,"Vegetables; truffles and mushrooms (other than of the genus Agaricus), fresh or chilled",7
70959,"Vegetables; mushrooms other than of the genus Agaricus, fresh or chilled",7
70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",7
70960,Vegetables; fruits of the genus capsicum or of the genus pimenta,7
70970,"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",7
70990,"Vegetables; edible, n.e.c. in chapter 7, fresh or chilled",7
70990,"Vegetables; edible, n.e.s. in chapter 7, fresh or chilled",7
70991,"Vegetables; globe artichokes, fresh or chilled",7
70992,"Vegetables; olives, fresh or chilled",7
70993,"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",7
70999,"Vegetables; edible, n.e.c. in chapter 07, fresh or chilled",7
71010,"Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen",7
71021,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",7
